"run","method","true_label","predicted_label","count","row_percent"
"5","BPTT checkpoint","Baseball","Stuffed Ball","1","5.0"
"5","BPTT checkpoint","Baseball","3D-Printed Part","0","0.0"
"5","BPTT checkpoint","Bottle","Baseball","0","0.0"
"5","BPTT checkpoint","Bottle","Bottle","20","100.0"
"5","BPTT checkpoint","Bottle","Sponge Dice","0","0.0"
"5","BPTT checkpoint","Bottle","Tape","0","0.0"
"5","BPTT checkpoint","Bottle","Plush Toy","0","0.0"
"5","BPTT checkpoint","Bottle","Optical Mouse","0","0.0"
"5","BPTT checkpoint","Bottle","Smartphone","0","0.0"
"5","BPTT checkpoint","Bottle","Rubik's Cube","0","0.0"
"5","BPTT checkpoint","Bottle","Stuffed Ball","0","0.0"
"5","BPTT checkpoint","Bottle","3D-Printed Part","0","0.0"
"5","BPTT checkpoint","Sponge Dice","Baseball","0","0.0"
"5","BPTT checkpoint","Sponge Dice","Bottle","0","0.0"
"5","BPTT checkpoint","Sponge Dice","Sponge Dice","19","95.0"
"5","BPTT checkpoint","Sponge Dice","Tape","0","0.0"
"5","BPTT checkpoint","Sponge Dice","Plush Toy","0","0.0"
"5","BPTT checkpoint","Sponge Dice","Optical Mouse","0","0.0"
"5","BPTT checkpoint","Sponge Dice","Smartphone","0","0.0"
"5","BPTT checkpoint","Sponge Dice","Rubik's Cube","0","0.0"
"5","BPTT checkpoint","Sponge Dice","Stuffed Ball","0","0.0"
"5","BPTT checkpoint","Sponge Dice","3D-Printed Part","1","5.0"
"5","BPTT checkpoint","Tape","Baseball","3","15.0"
"5","BPTT checkpoint","Tape","Bottle","0","0.0"
"5","BPTT checkpoint","Tape","Sponge Dice","0","0.0"
"5","BPTT checkpoint","Tape","Tape","14","70.0"
"5","BPTT checkpoint","Tape","Plush Toy","0","0.0"
"5","BPTT checkpoint","Tape","Optical Mouse","0","0.0"
"5","BPTT checkpoint","Tape","Smartphone","0","0.0"
"5","BPTT checkpoint","Tape","Rubik's Cube","0","0.0"
"5","BPTT checkpoint","Tape","Stuffed Ball","3","15.0"
"5","BPTT checkpoint","Tape","3D-Printed Part","0","0.0"
"5","BPTT checkpoint","Plush Toy","Baseball","0","0.0"
"5","BPTT checkpoint","Plush Toy","Bottle","0","0.0"
"5","BPTT checkpoint","Plush Toy","Sponge Dice","0","0.0"
"5","BPTT checkpoint","Plush Toy","Tape","0","0.0"
"5","BPTT checkpoint","Plush Toy","Plush Toy","16","80.0"
"5","BPTT checkpoint","Plush Toy","Optical Mouse","4","20.0"
"5","BPTT checkpoint","Plush Toy","Smartphone","0","0.0"
"5","BPTT checkpoint","Plush Toy","Rubik's Cube","0","0.0"
"5","BPTT checkpoint","Plush Toy","Stuffed Ball","0","0.0"
"5","BPTT checkpoint","Plush Toy","3D-Printed Part","0","0.0"
"5","BPTT checkpoint","Optical Mouse","Baseball","0","0.0"
"5","BPTT checkpoint","Optical Mouse","Bottle","0","0.0"
"5","BPTT checkpoint","Optical Mouse","Sponge Dice","0","0.0"
"5","BPTT checkpoint","Optical Mouse","Tape","0","0.0"
"5","BPTT checkpoint","Optical Mouse","Plush Toy","2","10.0"
"5","BPTT checkpoint","Optical Mouse","Optical Mouse","18","90.0"
"5","BPTT checkpoint","Optical Mouse","Smartphone","0","0.0"
"5","BPTT checkpoint","Optical Mouse","Rubik's Cube","0","0.0"
"5","BPTT checkpoint","Optical Mouse","Stuffed Ball","0","0.0"
"5","BPTT checkpoint","Optical Mouse","3D-Printed Part","0","0.0"
"5","BPTT checkpoint","Smartphone","Baseball","0","0.0"
"5","BPTT checkpoint","Smartphone","Bottle","0","0.0"
"5","BPTT checkpoint","Smartphone","Sponge Dice","0","0.0"
"5","BPTT checkpoint","Smartphone","Tape","0","0.0"
"5","BPTT checkpoint","Smartphone","Plush Toy","0","0.0"
"5","BPTT checkpoint","Smartphone","Optical Mouse","0","0.0"
"5","BPTT checkpoint","Smartphone","Smartphone","20","100.0"
"5","BPTT checkpoint","Smartphone","Rubik's Cube","0","0.0"
"5","BPTT checkpoint","Smartphone","Stuffed Ball","0","0.0"
"5","BPTT checkpoint","Smartphone","3D-Printed Part","0","0.0"
"5","BPTT checkpoint","Rubik's Cube","Baseball","0","0.0"
"5","BPTT checkpoint","Rubik's Cube","Bottle","0","0.0"
"5","BPTT checkpoint","Rubik's Cube","Sponge Dice","0","0.0"
"5","BPTT checkpoint","Rubik's Cube","Tape","0","0.0"
"5","BPTT checkpoint","Rubik's Cube","Plush Toy","0","0.0"
"5","BPTT checkpoint","Rubik's Cube","Optical Mouse","0","0.0"
"5","BPTT checkpoint","Rubik's Cube","Smartphone","1","5.0"
"5","BPTT checkpoint","Rubik's Cube","Rubik's Cube","19","95.0"
"5","BPTT checkpoint","Rubik's Cube","Stuffed Ball","0","0.0"
"5","BPTT checkpoint","Rubik's Cube","3D-Printed Part","0","0.0"
"5","BPTT checkpoint","Stuffed Ball","Baseball","3","15.0"
"5","BPTT checkpoint","Stuffed Ball","Bottle","0","0.0"
"5","BPTT checkpoint","Stuffed Ball","Sponge Dice","0","0.0"
"5","BPTT checkpoint","Stuffed Ball","Tape","0","0.0"
"5","BPTT checkpoint","Stuffed Ball","Plush Toy","0","0.0"
"5","BPTT checkpoint","Stuffed Ball","Optical Mouse","0","0.0"
"5","BPTT checkpoint","Stuffed Ball","Smartphone","0","0.0"
"5","BPTT checkpoint","Stuffed Ball","Rubik's Cube","0","0.0"
"5","BPTT checkpoint","Stuffed Ball","Stuffed Ball","17","85.0"
"5","BPTT checkpoint","Stuffed Ball","3D-Printed Part","0","0.0"
"5","BPTT checkpoint","3D-Printed Part","Baseball","0","0.0"
"5","BPTT checkpoint","3D-Printed Part","Bottle","0","0.0"
"5","BPTT checkpoint","3D-Printed Part","Sponge Dice","0","0.0"
"5","BPTT checkpoint","3D-Printed Part","Tape","0","0.0"
"5","BPTT checkpoint","3D-Printed Part","Plush Toy","0","0.0"
"5","BPTT checkpoint","3D-Printed Part","Optical Mouse","0","0.0"
"5","BPTT checkpoint","3D-Printed Part","Smartphone","0","0.0"
"5","BPTT checkpoint","3D-Printed Part","Rubik's Cube","0","0.0"
"5","BPTT checkpoint","3D-Printed Part","Stuffed Ball","0","0.0"
"5","BPTT checkpoint","3D-Printed Part","3D-Printed Part","20","100.0"
"6","BPTT checkpoint","Baseball","Baseball","17","85.0"
"6","BPTT checkpoint","Baseball","Bottle","0","0.0"
"6","BPTT checkpoint","Baseball","Sponge Dice","0","0.0"
"6","BPTT checkpoint","Baseball","Tape","2","10.0"
"6","BPTT checkpoint","Baseball","Plush Toy","0","0.0"
"6","BPTT checkpoint","Baseball","Optical Mouse","0","0.0"
"6","BPTT checkpoint","Baseball","Smartphone","0","0.0"
"6","BPTT checkpoint","Baseball","Rubik's Cube","0","0.0"
"6","BPTT checkpoint","Baseball","Stuffed Ball","1","5.0"
"6","BPTT checkpoint","Baseball","3D-Printed Part","0","0.0"
"6","BPTT checkpoint","Bottle","Baseball","0","0.0"
"6","BPTT checkpoint","Bottle","Bottle","20","100.0"
"6","BPTT checkpoint","Bottle","Sponge Dice","0","0.0"
"6","BPTT checkpoint","Bottle","Tape","0","0.0"
"6","BPTT checkpoint","Bottle","Plush Toy","0","0.0"
"6","BPTT checkpoint","Bottle","Optical Mouse","0","0.0"
"6","BPTT checkpoint","Bottle","Smartphone","0","0.0"
"6","BPTT checkpoint","Bottle","Rubik's Cube","0","0.0"
"6","BPTT checkpoint","Bottle","Stuffed Ball","0","0.0"
"6","BPTT checkpoint","Bottle","3D-Printed Part","0","0.0"
"6","BPTT checkpoint","Sponge Dice","Baseball","0","0.0"
"6","BPTT checkpoint","Sponge Dice","Bottle","0","0.0"
"6","BPTT checkpoint","Sponge Dice","Sponge Dice","19","95.0"
"6","BPTT checkpoint","Sponge Dice","Tape","0","0.0"
"6","BPTT checkpoint","Sponge Dice","Plush Toy","0","0.0"
"6","BPTT checkpoint","Sponge Dice","Optical Mouse","0","0.0"
"6","BPTT checkpoint","Sponge Dice","Smartphone","0","0.0"
"6","BPTT checkpoint","Sponge Dice","Rubik's Cube","0","0.0"
"6","BPTT checkpoint","Sponge Dice","Stuffed Ball","0","0.0"
"6","BPTT checkpoint","Sponge Dice","3D-Printed Part","1","5.0"
"6","BPTT checkpoint","Tape","Baseball","3","15.0"
"6","BPTT checkpoint","Tape","Bottle","0","0.0"
"6","BPTT checkpoint","Tape","Sponge Dice","0","0.0"
"6","BPTT checkpoint","Tape","Tape","13","65.0"
"6","BPTT checkpoint","Tape","Plush Toy","0","0.0"
"6","BPTT checkpoint","Tape","Optical Mouse","0","0.0"
"6","BPTT checkpoint","Tape","Smartphone","0","0.0"
"6","BPTT checkpoint","Tape","Rubik's Cube","0","0.0"
"6","BPTT checkpoint","Tape","Stuffed Ball","4","20.0"
"6","BPTT checkpoint","Tape","3D-Printed Part","0","0.0"
"6","BPTT checkpoint","Plush Toy","Baseball","0","0.0"
"6","BPTT checkpoint","Plush Toy","Bottle","0","0.0"
"6","BPTT checkpoint","Plush Toy","Sponge Dice","0","0.0"
"6","BPTT checkpoint","Plush Toy","Tape","0","0.0"
"6","BPTT checkpoint","Plush Toy","Plush Toy","16","80.0"
"6","BPTT checkpoint","Plush Toy","Optical Mouse","4","20.0"
"6","BPTT checkpoint","Plush Toy","Smartphone","0","0.0"
"6","BPTT checkpoint","Plush Toy","Rubik's Cube","0","0.0"
"6","BPTT checkpoint","Plush Toy","Stuffed Ball","0","0.0"
"6","BPTT checkpoint","Plush Toy","3D-Printed Part","0","0.0"
"6","BPTT checkpoint","Optical Mouse","Baseball","0","0.0"
"6","BPTT checkpoint","Optical Mouse","Bottle","0","0.0"
"6","BPTT checkpoint","Optical Mouse","Sponge Dice","0","0.0"
"6","BPTT checkpoint","Optical Mouse","Tape","0","0.0"
"6","BPTT checkpoint","Optical Mouse","Plush Toy","2","10.0"
"6","BPTT checkpoint","Optical Mouse","Optical Mouse","18","90.0"
"6","BPTT checkpoint","Optical Mouse","Smartphone","0","0.0"
"6","BPTT checkpoint","Optical Mouse","Rubik's Cube","0","0.0"
"6","BPTT checkpoint","Optical Mouse","Stuffed Ball","0","0.0"
"6","BPTT checkpoint","Optical Mouse","3D-Printed Part","0","0.0"
"6","BPTT checkpoint","Smartphone","Baseball","0","0.0"
"6","BPTT checkpoint","Smartphone","Bottle","0","0.0"
"6","BPTT checkpoint","Smartphone","Sponge Dice","0","0.0"
"6","BPTT checkpoint","Smartphone","Tape","0","0.0"
"6","BPTT checkpoint","Smartphone","Plush Toy","0","0.0"
"6","BPTT checkpoint","Smartphone","Optical Mouse","0","0.0"
"6","BPTT checkpoint","Smartphone","Smartphone","20","100.0"
"6","BPTT checkpoint","Smartphone","Rubik's Cube","0","0.0"
"6","BPTT checkpoint","Smartphone","Stuffed Ball","0","0.0"
"6","BPTT checkpoint","Smartphone","3D-Printed Part","0","0.0"
"6","BPTT checkpoint","Rubik's Cube","Baseball","0","0.0"
"6","BPTT checkpoint","Rubik's Cube","Bottle","0","0.0"
"6","BPTT checkpoint","Rubik's Cube","Sponge Dice","0","0.0"
"6","BPTT checkpoint","Rubik's Cube","Tape","0","0.0"
"6","BPTT checkpoint","Rubik's Cube","Plush Toy","0","0.0"
"6","BPTT checkpoint","Rubik's Cube","Optical Mouse","0","0.0"
"6","BPTT checkpoint","Rubik's Cube","Smartphone","1","5.0"
"6","BPTT checkpoint","Rubik's Cube","Rubik's Cube","19","95.0"
"6","BPTT checkpoint","Rubik's Cube","Stuffed Ball","0","0.0"
"6","BPTT checkpoint","Rubik's Cube","3D-Printed Part","0","0.0"
"6","BPTT checkpoint","Stuffed Ball","Baseball","3","15.0"
"6","BPTT checkpoint","Stuffed Ball","Bottle","0","0.0"
"6","BPTT checkpoint","Stuffed Ball","Sponge Dice","0","0.0"
"6","BPTT checkpoint","Stuffed Ball","Tape","0","0.0"
"6","BPTT checkpoint","Stuffed Ball","Plush Toy","0","0.0"
"6","BPTT checkpoint","Stuffed Ball","Optical Mouse","0","0.0"
"6","BPTT checkpoint","Stuffed Ball","Smartphone","0","0.0"
"6","BPTT checkpoint","Stuffed Ball","Rubik's Cube","0","0.0"
"6","BPTT checkpoint","Stuffed Ball","Stuffed Ball","17","85.0"
"6","BPTT checkpoint","Stuffed Ball","3D-Printed Part","0","0.0"
"6","BPTT checkpoint","3D-Printed Part","Baseball","0","0.0"
"6","BPTT checkpoint","3D-Printed Part","Bottle","0","0.0"
"6","BPTT checkpoint","3D-Printed Part","Sponge Dice","0","0.0"
"6","BPTT checkpoint","3D-Printed Part","Tape","0","0.0"
"6","BPTT checkpoint","3D-Printed Part","Plush Toy","0","0.0"
"6","BPTT checkpoint","3D-Printed Part","Optical Mouse","0","0.0"
"6","BPTT checkpoint","3D-Printed Part","Smartphone","0","0.0"
"6","BPTT checkpoint","3D-Printed Part","Rubik's Cube","0","0.0"
"6","BPTT checkpoint","3D-Printed Part","Stuffed Ball","0","0.0"
"6","BPTT checkpoint","3D-Printed Part","3D-Printed Part","20","100.0"
"7","BPTT checkpoint","Baseball","Baseball","16","80.0"
"7","BPTT checkpoint","Baseball","Bottle","0","0.0"
"7","BPTT checkpoint","Baseball","Sponge Dice","0","0.0"
"7","BPTT checkpoint","Baseball","Tape","2","10.0"
"7","BPTT checkpoint","Baseball","Plush Toy","0","0.0"
"7","BPTT checkpoint","Baseball","Optical Mouse","0","0.0"
"7","BPTT checkpoint","Baseball","Smartphone","0","0.0"
"7","BPTT checkpoint","Baseball","Rubik's Cube","0","0.0"
"7","BPTT checkpoint","Baseball","Stuffed Ball","2","10.0"
"7","BPTT checkpoint","Baseball","3D-Printed Part","0","0.0"
"7","BPTT checkpoint","Bottle","Baseball","0","0.0"
"7","BPTT checkpoint","Bottle","Bottle","19","95.0"
"7","BPTT checkpoint","Bottle","Sponge Dice","0","0.0"
"7","BPTT checkpoint","Bottle","Tape","0","0.0"
"7","BPTT checkpoint","Bottle","Plush Toy","0","0.0"
"7","BPTT checkpoint","Bottle","Optical Mouse","0","0.0"
"7","BPTT checkpoint","Bottle","Smartphone","1","5.0"
"7","BPTT checkpoint","Bottle","Rubik's Cube","0","0.0"
"7","BPTT checkpoint","Bottle","Stuffed Ball","0","0.0"
"7","BPTT checkpoint","Bottle","3D-Printed Part","0","0.0"
"7","BPTT checkpoint","Sponge Dice","Baseball","0","0.0"
"7","BPTT checkpoint","Sponge Dice","Bottle","1","5.0"
"7","BPTT checkpoint","Sponge Dice","Sponge Dice","18","90.0"
"7","BPTT checkpoint","Sponge Dice","Tape","0","0.0"
"7","BPTT checkpoint","Sponge Dice","Plush Toy","0","0.0"
"7","BPTT checkpoint","Sponge Dice","Optical Mouse","0","0.0"
"7","BPTT checkpoint","Sponge Dice","Smartphone","0","0.0"
"7","BPTT checkpoint","Sponge Dice","Rubik's Cube","0","0.0"
"7","BPTT checkpoint","Sponge Dice","Stuffed Ball","0","0.0"
"7","BPTT checkpoint","Sponge Dice","3D-Printed Part","1","5.0"
"7","BPTT checkpoint","Tape","Baseball","3","15.0"
"7","BPTT checkpoint","Tape","Bottle","0","0.0"
"7","BPTT checkpoint","Tape","Sponge Dice","0","0.0"
"7","BPTT checkpoint","Tape","Tape","16","80.0"
"7","BPTT checkpoint","Tape","Plush Toy","0","0.0"
"7","BPTT checkpoint","Tape","Optical Mouse","0","0.0"
"7","BPTT checkpoint","Tape","Smartphone","0","0.0"
"7","BPTT checkpoint","Tape","Rubik's Cube","0","0.0"
"7","BPTT checkpoint","Tape","Stuffed Ball","1","5.0"
"7","BPTT checkpoint","Tape","3D-Printed Part","0","0.0"
"7","BPTT checkpoint","Plush Toy","Baseball","0","0.0"
"7","BPTT checkpoint","Plush Toy","Bottle","0","0.0"
"7","BPTT checkpoint","Plush Toy","Sponge Dice","0","0.0"
"7","BPTT checkpoint","Plush Toy","Tape","0","0.0"
"7","BPTT checkpoint","Plush Toy","Plush Toy","16","80.0"
"7","BPTT checkpoint","Plush Toy","Optical Mouse","4","20.0"
"7","BPTT checkpoint","Plush Toy","Smartphone","0","0.0"
"7","BPTT checkpoint","Plush Toy","Rubik's Cube","0","0.0"
"7","BPTT checkpoint","Plush Toy","Stuffed Ball","0","0.0"
"7","BPTT checkpoint","Plush Toy","3D-Printed Part","0","0.0"
"7","BPTT checkpoint","Optical Mouse","Baseball","0","0.0"
"7","BPTT checkpoint","Optical Mouse","Bottle","0","0.0"
"7","BPTT checkpoint","Optical Mouse","Sponge Dice","0","0.0"
"7","BPTT checkpoint","Optical Mouse","Tape","0","0.0"
"7","BPTT checkpoint","Optical Mouse","Plush Toy","3","15.0"
"7","BPTT checkpoint","Optical Mouse","Optical Mouse","17","85.0"
"7","BPTT checkpoint","Optical Mouse","Smartphone","0","0.0"
"7","BPTT checkpoint","Optical Mouse","Rubik's Cube","0","0.0"
"7","BPTT checkpoint","Optical Mouse","Stuffed Ball","0","0.0"
"7","BPTT checkpoint","Optical Mouse","3D-Printed Part","0","0.0"
"7","BPTT checkpoint","Smartphone","Baseball","0","0.0"
"7","BPTT checkpoint","Smartphone","Bottle","0","0.0"
"7","BPTT checkpoint","Smartphone","Sponge Dice","0","0.0"
"7","BPTT checkpoint","Smartphone","Tape","0","0.0"
"7","BPTT checkpoint","Smartphone","Plush Toy","0","0.0"
"7","BPTT checkpoint","Smartphone","Optical Mouse","0","0.0"
"7","BPTT checkpoint","Smartphone","Smartphone","20","100.0"
"7","BPTT checkpoint","Smartphone","Rubik's Cube","0","0.0"
"7","BPTT checkpoint","Smartphone","Stuffed Ball","0","0.0"
"7","BPTT checkpoint","Smartphone","3D-Printed Part","0","0.0"
"7","BPTT checkpoint","Rubik's Cube","Baseball","0","0.0"
"7","BPTT checkpoint","Rubik's Cube","Bottle","1","5.0"
"7","BPTT checkpoint","Rubik's Cube","Sponge Dice","0","0.0"
"7","BPTT checkpoint","Rubik's Cube","Tape","0","0.0"
"7","BPTT checkpoint","Rubik's Cube","Plush Toy","0","0.0"
"7","BPTT checkpoint","Rubik's Cube","Optical Mouse","0","0.0"
"7","BPTT checkpoint","Rubik's Cube","Smartphone","0","0.0"
"7","BPTT checkpoint","Rubik's Cube","Rubik's Cube","19","95.0"
"7","BPTT checkpoint","Rubik's Cube","Stuffed Ball","0","0.0"
"7","BPTT checkpoint","Rubik's Cube","3D-Printed Part","0","0.0"
"7","BPTT checkpoint","Stuffed Ball","Baseball","11","55.00000000000001"
"7","BPTT checkpoint","Stuffed Ball","Bottle","0","0.0"
"7","BPTT checkpoint","Stuffed Ball","Sponge Dice","0","0.0"
"7","BPTT checkpoint","Stuffed Ball","Tape","0","0.0"
"7","BPTT checkpoint","Stuffed Ball","Plush Toy","0","0.0"
"7","BPTT checkpoint","Stuffed Ball","Optical Mouse","0","0.0"
"7","BPTT checkpoint","Stuffed Ball","Smartphone","0","0.0"
"7","BPTT checkpoint","Stuffed Ball","Rubik's Cube","0","0.0"
"7","BPTT checkpoint","Stuffed Ball","Stuffed Ball","9","45.0"
"7","BPTT checkpoint","Stuffed Ball","3D-Printed Part","0","0.0"
"7","BPTT checkpoint","3D-Printed Part","Baseball","0","0.0"
"7","BPTT checkpoint","3D-Printed Part","Bottle","0","0.0"
"7","BPTT checkpoint","3D-Printed Part","Sponge Dice","0","0.0"
"7","BPTT checkpoint","3D-Printed Part","Tape","0","0.0"
"7","BPTT checkpoint","3D-Printed Part","Plush Toy","0","0.0"
"7","BPTT checkpoint","3D-Printed Part","Optical Mouse","0","0.0"
"7","BPTT checkpoint","3D-Printed Part","Smartphone","0","0.0"
"7","BPTT checkpoint","3D-Printed Part","Rubik's Cube","0","0.0"
"7","BPTT checkpoint","3D-Printed Part","Stuffed Ball","0","0.0"
"7","BPTT checkpoint","3D-Printed Part","3D-Printed Part","20","100.0"
"8","BPTT checkpoint","Baseball","Baseball","15","75.0"
"8","BPTT checkpoint","Baseball","Bottle","0","0.0"
"8","BPTT checkpoint","Baseball","Sponge Dice","0","0.0"
"8","BPTT checkpoint","Baseball","Tape","3","15.0"
"8","BPTT checkpoint","Baseball","Plush Toy","0","0.0"
"8","BPTT checkpoint","Baseball","Optical Mouse","0","0.0"
"8","BPTT checkpoint","Baseball","Smartphone","0","0.0"
"8","BPTT checkpoint","Baseball","Rubik's Cube","0","0.0"
"8","BPTT checkpoint","Baseball","Stuffed Ball","2","10.0"
"8","BPTT checkpoint","Baseball","3D-Printed Part","0","0.0"
"8","BPTT checkpoint","Bottle","Baseball","0","0.0"
"8","BPTT checkpoint","Bottle","Bottle","18","90.0"
"8","BPTT checkpoint","Bottle","Sponge Dice","0","0.0"
"8","BPTT checkpoint","Bottle","Tape","0","0.0"
"8","BPTT checkpoint","Bottle","Plush Toy","0","0.0"
"8","BPTT checkpoint","Bottle","Optical Mouse","0","0.0"
"8","BPTT checkpoint","Bottle","Smartphone","2","10.0"
"8","BPTT checkpoint","Bottle","Rubik's Cube","0","0.0"
"8","BPTT checkpoint","Bottle","Stuffed Ball","0","0.0"
"8","BPTT checkpoint","Bottle","3D-Printed Part","0","0.0"
"8","BPTT checkpoint","Sponge Dice","Baseball","0","0.0"
"8","BPTT checkpoint","Sponge Dice","Bottle","0","0.0"
"8","BPTT checkpoint","Sponge Dice","Sponge Dice","16","80.0"
"8","BPTT checkpoint","Sponge Dice","Tape","0","0.0"
"8","BPTT checkpoint","Sponge Dice","Plush Toy","0","0.0"
"8","BPTT checkpoint","Sponge Dice","Optical Mouse","0","0.0"
"8","BPTT checkpoint","Sponge Dice","Smartphone","0","0.0"
"8","BPTT checkpoint","Sponge Dice","Rubik's Cube","2","10.0"
"8","BPTT checkpoint","Sponge Dice","Stuffed Ball","1","5.0"
"8","BPTT checkpoint","Sponge Dice","3D-Printed Part","1","5.0"
"8","BPTT checkpoint","Tape","Baseball","5","25.0"
"8","BPTT checkpoint","Tape","Bottle","0","0.0"
"8","BPTT checkpoint","Tape","Sponge Dice","0","0.0"
"8","BPTT checkpoint","Tape","Tape","13","65.0"
"8","BPTT checkpoint","Tape","Plush Toy","0","0.0"
"8","BPTT checkpoint","Tape","Optical Mouse","0","0.0"
"8","BPTT checkpoint","Tape","Smartphone","0","0.0"
"8","BPTT checkpoint","Tape","Rubik's Cube","0","0.0"
"8","BPTT checkpoint","Tape","Stuffed Ball","2","10.0"
"8","BPTT checkpoint","Tape","3D-Printed Part","0","0.0"
"8","BPTT checkpoint","Plush Toy","Baseball","0","0.0"
"8","BPTT checkpoint","Plush Toy","Bottle","0","0.0"
"8","BPTT checkpoint","Plush Toy","Sponge Dice","0","0.0"
"8","BPTT checkpoint","Plush Toy","Tape","0","0.0"
"8","BPTT checkpoint","Plush Toy","Plush Toy","14","70.0"
"8","BPTT checkpoint","Plush Toy","Optical Mouse","6","30.0"
"8","BPTT checkpoint","Plush Toy","Smartphone","0","0.0"
"8","BPTT checkpoint","Plush Toy","Rubik's Cube","0","0.0"
"8","BPTT checkpoint","Plush Toy","Stuffed Ball","0","0.0"
"8","BPTT checkpoint","Plush Toy","3D-Printed Part","0","0.0"
"8","BPTT checkpoint","Optical Mouse","Baseball","0","0.0"
"8","BPTT checkpoint","Optical Mouse","Bottle","0","0.0"
"8","BPTT checkpoint","Optical Mouse","Sponge Dice","0","0.0"
"8","BPTT checkpoint","Optical Mouse","Tape","0","0.0"
"8","BPTT checkpoint","Optical Mouse","Plush Toy","3","15.0"
"8","BPTT checkpoint","Optical Mouse","Optical Mouse","17","85.0"
"8","BPTT checkpoint","Optical Mouse","Smartphone","0","0.0"
"8","BPTT checkpoint","Optical Mouse","Rubik's Cube","0","0.0"
"8","BPTT checkpoint","Optical Mouse","Stuffed Ball","0","0.0"
"8","BPTT checkpoint","Optical Mouse","3D-Printed Part","0","0.0"
"8","BPTT checkpoint","Smartphone","Baseball","0","0.0"
"8","BPTT checkpoint","Smartphone","Bottle","0","0.0"
"8","BPTT checkpoint","Smartphone","Sponge Dice","0","0.0"
"8","BPTT checkpoint","Smartphone","Tape","0","0.0"
"8","BPTT checkpoint","Smartphone","Plush Toy","0","0.0"
"8","BPTT checkpoint","Smartphone","Optical Mouse","0","0.0"
"8","BPTT checkpoint","Smartphone","Smartphone","20","100.0"
"8","BPTT checkpoint","Smartphone","Rubik's Cube","0","0.0"
"8","BPTT checkpoint","Smartphone","Stuffed Ball","0","0.0"
"8","BPTT checkpoint","Smartphone","3D-Printed Part","0","0.0"
"8","BPTT checkpoint","Rubik's Cube","Baseball","0","0.0"
"8","BPTT checkpoint","Rubik's Cube","Bottle","1","5.0"
